LineId,Content,EventId,EventTemplate
1,onStandStepChanged 3579,E42,onStandStepChanged <*>
2,onExtend:1514038530000 14 0 4,E39,onExtend:<*> <*> <*> <*>
3,onReceive action: android.intent.action.SCREEN_ON,E41,onReceive action: android.intent.action.SCREEN_ON
4,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,E43,processHandleBroadcastAction action:android.intent.action.SCREEN_ON
5,flush sensor data,E12,flush sensor data
6, getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
7,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,E58,setTodayTotalDetailSteps=<*>
8,onStandStepChanged 3579,E42,onStandStepChanged <*>
9,calculateCaloriesWithCache totalCalories=126775,E4,calculateCaloriesWithCache totalCalories=<*>
10,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
11,REPORT : 7007 5002 150089 240,E47,REPORT : <*> <*> <*> <*>
12,onExtend:1514038530000 0 0 4,E39,onExtend:<*> <*> <*> <*>
13,onStandStepChanged 3579,E42,onStandStepChanged <*>
14,onStandStepChanged 3580,E42,onStandStepChanged <*>
15,onExtend:1514038530000 1 0 4,E39,onExtend:<*> <*> <*> <*>
16, getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
17,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,E58,setTodayTotalDetailSteps=<*>
18,calculateCaloriesWithCache totalCalories=126797,E4,calculateCaloriesWithCache totalCalories=<*>
19,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
20,REPORT : 7008 5003 150111 240,E47,REPORT : <*> <*> <*> <*>
21,onStandStepChanged 3581,E42,onStandStepChanged <*>
22,onExtend:1514038531000 1 0 4,E39,onExtend:<*> <*> <*> <*>
23, getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
24,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,E58,setTodayTotalDetailSteps=<*>
25,calculateCaloriesWithCache totalCalories=126818,E4,calculateCaloriesWithCache totalCalories=<*>
26,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
27,REPORT : 7009 5004 150132 240,E47,REPORT : <*> <*> <*> <*>
28,onStandStepChanged 3583,E42,onStandStepChanged <*>
29,onExtend:1514038531000 2 0 4,E39,onExtend:<*> <*> <*> <*>
30, getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
31,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,E58,setTodayTotalDetailSteps=<*>
32,calculateCaloriesWithCache totalCalories=126861,E4,calculateCaloriesWithCache totalCalories=<*>
33,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
34,REPORT : 7011 5005 150175 240,E47,REPORT : <*> <*> <*> <*>
35,onStandStepChanged 3584,E42,onStandStepChanged <*>
36,onExtend:1514038532000 1 0 4,E39,onExtend:<*> <*> <*> <*>
37, getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
38,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,E58,setTodayTotalDetailSteps=<*>
39,calculateCaloriesWithCache totalCalories=126882,E4,calculateCaloriesWithCache totalCalories=<*>
40,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
41,REPORT : 7012 5006 150197 240,E47,REPORT : <*> <*> <*> <*>
42,onStandStepChanged 3585,E42,onStandStepChanged <*>
43,onExtend:1514038533000 1 0 4,E39,onExtend:<*> <*> <*> <*>
44, getTodayTotalDetailSteps = 1514038440000##7012##548365##8661##12741##27176464,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
45,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,E58,setTodayTotalDetailSteps=<*>
46,calculateCaloriesWithCache totalCalories=126904,E4,calculateCaloriesWithCache totalCalories=<*>
47,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
48,REPORT : 7013 5007 150218 240,E47,REPORT : <*> <*> <*> <*>
49,onStandStepChanged 3586,E42,onStandStepChanged <*>
50,onExtend:1514038533000 1 0 4,E39,onExtend:<*> <*> <*> <*>
51, getTodayTotalDetailSteps = 1514038440000##7013##548365##8661##12836##27176966,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
52,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,E58,setTodayTotalDetailSteps=<*>
53,calculateCaloriesWithCache totalCalories=126925,E4,calculateCaloriesWithCache totalCalories=<*>
54,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
55,REPORT : 7014 5007 150239 240,E47,REPORT : <*> <*> <*> <*>
56,onStandStepChanged 3587,E42,onStandStepChanged <*>
57,onExtend:1514038534000 1 0 4,E39,onExtend:<*> <*> <*> <*>
58, getTodayTotalDetailSteps = 1514038440000##7014##548365##8661##12931##27177463,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
59,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,E58,setTodayTotalDetailSteps=<*>
60,calculateCaloriesWithCache totalCalories=126947,E4,calculateCaloriesWithCache totalCalories=<*>
61,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
62,REPORT : 7015 5008 150261 240,E47,REPORT : <*> <*> <*> <*>
63,onStandStepChanged 3588,E42,onStandStepChanged <*>
64,onExtend:1514038535000 1 0 4,E39,onExtend:<*> <*> <*> <*>
65,onReceive action: android.intent.action.SCREEN_OFF,E40,onReceive action: android.intent.action.SCREEN_OFF
66,onStandStepChanged 3589,E42,onStandStepChanged <*>
67,onExtend:1514038535000 1 0 4,E39,onExtend:<*> <*> <*> <*>
68, getTodayTotalDetailSteps = 1514038440000##7015##548365##8661##13026##27177962,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
69,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,E58,setTodayTotalDetailSteps=<*>
70,calculateCaloriesWithCache totalCalories=126989,E4,calculateCaloriesWithCache totalCalories=<*>
71,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
72,isScreenOn true,E35,isScreenOn true
73,"screen status unknown,think screen on",E53,"screen status unknown,think screen on"
74,REPORT : 7017 5010 150304 240,E47,REPORT : <*> <*> <*> <*>
75,onReceive action: android.intent.action.SCREEN_ON,E41,onReceive action: android.intent.action.SCREEN_ON
76,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,E43,processHandleBroadcastAction action:android.intent.action.SCREEN_ON
77,flush sensor data,E12,flush sensor data
78, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13121##27179330,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
79,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,E58,setTodayTotalDetailSteps=<*>
80,onStandStepChanged 3589,E42,onStandStepChanged <*>
81,calculateCaloriesWithCache totalCalories=126989,E4,calculateCaloriesWithCache totalCalories=<*>
82,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
83,REPORT : 7017 5010 150304 240,E47,REPORT : <*> <*> <*> <*>
84,onStandStepChanged 3589,E42,onStandStepChanged <*>
85,onExtend:1514038536000 0 0 4,E39,onExtend:<*> <*> <*> <*>
86,onStandStepChanged 3590,E42,onStandStepChanged <*>
87,onExtend:1514038536000 1 0 4,E39,onExtend:<*> <*> <*> <*>
88, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13216##27179417,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
89,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,E58,setTodayTotalDetailSteps=<*>
90,calculateCaloriesWithCache totalCalories=127011,E4,calculateCaloriesWithCache totalCalories=<*>
91,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
92,REPORT : 7018 5010 150325 240,E47,REPORT : <*> <*> <*> <*>
93,onStandStepChanged 3591,E42,onStandStepChanged <*>
94,onExtend:1514038536000 1 0 4,E39,onExtend:<*> <*> <*> <*>
95, getTodayTotalDetailSteps = 1514038440000##7018##548365##8661##13311##27179732,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
96,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,E58,setTodayTotalDetailSteps=<*>
97,calculateCaloriesWithCache totalCalories=127032,E4,calculateCaloriesWithCache totalCalories=<*>
98,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
99,REPORT : 7019 5011 150346 240,E47,REPORT : <*> <*> <*> <*>
100,onStandStepChanged 3592,E42,onStandStepChanged <*>
101,onExtend:1514038537000 1 0 4,E39,onExtend:<*> <*> <*> <*>
102, getTodayTotalDetailSteps = 1514038440000##7019##548365##8661##13406##27180468,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
103,setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,E58,setTodayTotalDetailSteps=<*>
104,calculateCaloriesWithCache totalCalories=127054,E4,calculateCaloriesWithCache totalCalories=<*>
105,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
106,REPORT : 7020 5012 150368 240,E47,REPORT : <*> <*> <*> <*>
107,onStandStepChanged 3593,E42,onStandStepChanged <*>
108,onExtend:1514038538000 1 0 4,E39,onExtend:<*> <*> <*> <*>
109, getTodayTotalDetailSteps = 1514038440000##7020##548365##8661##13501##27180976,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
110,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,E58,setTodayTotalDetailSteps=<*>
111,calculateCaloriesWithCache totalCalories=127075,E4,calculateCaloriesWithCache totalCalories=<*>
112,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
113,REPORT : 7021 5012 150389 240,E47,REPORT : <*> <*> <*> <*>
114,onStandStepChanged 3594,E42,onStandStepChanged <*>
115,onExtend:1514038538000 1 0 4,E39,onExtend:<*> <*> <*> <*>
116, getTodayTotalDetailSteps = 1514038440000##7021##548365##8661##13596##27181971,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
117,setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,E58,setTodayTotalDetailSteps=<*>
118,calculateCaloriesWithCache totalCalories=127097,E4,calculateCaloriesWithCache totalCalories=<*>
119,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
120,REPORT : 7022 5013 150411 240,E47,REPORT : <*> <*> <*> <*>
121,onStandStepChanged 3595,E42,onStandStepChanged <*>
122,onExtend:1514038539000 1 0 4,E39,onExtend:<*> <*> <*> <*>
123, getTodayTotalDetailSteps = 1514038440000##7022##548365##8661##13691##27182468,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
124,setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,E58,setTodayTotalDetailSteps=<*>
125,calculateCaloriesWithCache totalCalories=127118,E4,calculateCaloriesWithCache totalCalories=<*>
126,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
127,REPORT : 7023 5014 150432 240,E47,REPORT : <*> <*> <*> <*>
128,onStandStepChanged 3596,E42,onStandStepChanged <*>
129,onExtend:1514038539000 1 0 4,E39,onExtend:<*> <*> <*> <*>
130, getTodayTotalDetailSteps = 1514038440000##7023##548365##8661##13786##27182973,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
131,setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469,E58,setTodayTotalDetailSteps=<*>
132,calculateCaloriesWithCache totalCalories=127139,E4,calculateCaloriesWithCache totalCalories=<*>
133,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
134,REPORT : 7024 5015 150454 240,E47,REPORT : <*> <*> <*> <*>
135,onStandStepChanged 3597,E42,onStandStepChanged <*>
136,onExtend:1514038540000 1 0 4,E39,onExtend:<*> <*> <*> <*>
137, getTodayTotalDetailSteps = 1514038440000##7024##548365##8661##13881##27183469,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
138,setTodayTotalDetailSteps=1514038440000##7025##548365##8661##13976##27183974,E58,setTodayTotalDetailSteps=<*>
139,calculateCaloriesWithCache totalCalories=127161,E4,calculateCaloriesWithCache totalCalories=<*>
140,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
141,REPORT : 7025 5015 150475 240,E47,REPORT : <*> <*> <*> <*>
142,onStandStepChanged 3598,E42,onStandStepChanged <*>
143,onExtend:1514038541000 1 0 4,E39,onExtend:<*> <*> <*> <*>
144, getTodayTotalDetailSteps = 1514038440000##7025##548365##8661##13976##27183974,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
145,setTodayTotalDetailSteps=1514038440000##7026##548365##8661##14071##27184972,E58,setTodayTotalDetailSteps=<*>
146,calculateCaloriesWithCache totalCalories=127182,E4,calculateCaloriesWithCache totalCalories=<*>
147,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
148,REPORT : 7026 5016 150496 240,E47,REPORT : <*> <*> <*> <*>
149,onStandStepChanged 3599,E42,onStandStepChanged <*>
150,onExtend:1514038541000 1 0 4,E39,onExtend:<*> <*> <*> <*>
151, getTodayTotalDetailSteps = 1514038440000##7026##548365##8661##14071##27184972,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
152,setTodayTotalDetailSteps=1514038440000##7027##548365##8661##14166##27185467,E58,setTodayTotalDetailSteps=<*>
153,calculateCaloriesWithCache totalCalories=127204,E4,calculateCaloriesWithCache totalCalories=<*>
154,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
155,REPORT : 7027 5017 150518 240,E47,REPORT : <*> <*> <*> <*>
156,onStandStepChanged 3600,E42,onStandStepChanged <*>
157,onExtend:1514038542000 1 0 4,E39,onExtend:<*> <*> <*> <*>
158, getTodayTotalDetailSteps = 1514038440000##7027##548365##8661##14166##27185467,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
159,setTodayTotalDetailSteps=1514038440000##7028##548365##8661##14261##27185977,E58,setTodayTotalDetailSteps=<*>
160,calculateCaloriesWithCache totalCalories=127225,E4,calculateCaloriesWithCache totalCalories=<*>
161,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
162,REPORT : 7028 5017 150539 240,E47,REPORT : <*> <*> <*> <*>
163,onStandStepChanged 3601,E42,onStandStepChanged <*>
164,onExtend:1514038542000 1 0 4,E39,onExtend:<*> <*> <*> <*>
165, getTodayTotalDetailSteps = 1514038440000##7028##548365##8661##14261##27185977,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
166,setTodayTotalDetailSteps=1514038440000##7029##548365##8661##14356##27186469,E58,setTodayTotalDetailSteps=<*>
167,calculateCaloriesWithCache totalCalories=127246,E4,calculateCaloriesWithCache totalCalories=<*>
168,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
169,REPORT : 7029 5018 150561 240,E47,REPORT : <*> <*> <*> <*>
170,onStandStepChanged 3602,E42,onStandStepChanged <*>
171,onExtend:1514038543000 1 0 4,E39,onExtend:<*> <*> <*> <*>
172, getTodayTotalDetailSteps = 1514038440000##7029##548365##8661##14356##27186469,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
173,setTodayTotalDetailSteps=1514038440000##7030##548365##8661##14451##27187468,E58,setTodayTotalDetailSteps=<*>
174,calculateCaloriesWithCache totalCalories=127268,E4,calculateCaloriesWithCache totalCalories=<*>
175,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
176,REPORT : 7030 5019 150582 240,E47,REPORT : <*> <*> <*> <*>
177,onStandStepChanged 3603,E42,onStandStepChanged <*>
178,onExtend:1514038544000 1 0 4,E39,onExtend:<*> <*> <*> <*>
179, getTodayTotalDetailSteps = 1514038440000##7030##548365##8661##14451##27187468,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
180,setTodayTotalDetailSteps=1514038440000##7031##548365##8661##14546##27187968,E58,setTodayTotalDetailSteps=<*>
181,calculateCaloriesWithCache totalCalories=127289,E4,calculateCaloriesWithCache totalCalories=<*>
182,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
183,REPORT : 7031 5020 150604 240,E47,REPORT : <*> <*> <*> <*>
184,onStandStepChanged 3604,E42,onStandStepChanged <*>
185,onExtend:1514038544000 1 0 4,E39,onExtend:<*> <*> <*> <*>
186, getTodayTotalDetailSteps = 1514038440000##7031##548365##8661##14546##27187968,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
187,setTodayTotalDetailSteps=1514038440000##7032##548365##8661##14641##27188471,E58,setTodayTotalDetailSteps=<*>
188,calculateCaloriesWithCache totalCalories=127311,E4,calculateCaloriesWithCache totalCalories=<*>
189,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
190,REPORT : 7032 5020 150625 240,E47,REPORT : <*> <*> <*> <*>
191,onStandStepChanged 3605,E42,onStandStepChanged <*>
192,onExtend:1514038545000 1 0 4,E39,onExtend:<*> <*> <*> <*>
193, getTodayTotalDetailSteps = 1514038440000##7032##548365##8661##14641##27188471,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
194,setTodayTotalDetailSteps=1514038440000##7033##548365##8661##14736##27189469,E58,setTodayTotalDetailSteps=<*>
195,calculateCaloriesWithCache totalCalories=127332,E4,calculateCaloriesWithCache totalCalories=<*>
196,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
197,REPORT : 7033 5021 150646 240,E47,REPORT : <*> <*> <*> <*>
198,onStandStepChanged 3606,E42,onStandStepChanged <*>
199,onExtend:1514038546000 1 0 4,E39,onExtend:<*> <*> <*> <*>
200, getTodayTotalDetailSteps = 1514038440000##7033##548365##8661##14736##27189469,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
201,setTodayTotalDetailSteps=1514038440000##7034##548365##8661##14831##27189969,E58,setTodayTotalDetailSteps=<*>
202,calculateCaloriesWithCache totalCalories=127354,E4,calculateCaloriesWithCache totalCalories=<*>
203,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
204,REPORT : 7034 5022 150668 240,E47,REPORT : <*> <*> <*> <*>
205,onStandStepChanged 3607,E42,onStandStepChanged <*>
206,onExtend:1514038546000 1 0 4,E39,onExtend:<*> <*> <*> <*>
207, getTodayTotalDetailSteps = 1514038440000##7034##548365##8661##14831##27189969,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
208,setTodayTotalDetailSteps=1514038440000##7035##548365##8661##14926##27190469,E58,setTodayTotalDetailSteps=<*>
209,calculateCaloriesWithCache totalCalories=127375,E4,calculateCaloriesWithCache totalCalories=<*>
210,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
211,REPORT : 7035 5022 150689 240,E47,REPORT : <*> <*> <*> <*>
212,onStandStepChanged 3608,E42,onStandStepChanged <*>
213,onExtend:1514038547000 1 0 4,E39,onExtend:<*> <*> <*> <*>
214, getTodayTotalDetailSteps = 1514038440000##7035##548365##8661##14926##27190469,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
215,setTodayTotalDetailSteps=1514038440000##7036##548365##8661##15021##27190970,E58,setTodayTotalDetailSteps=<*>
216,calculateCaloriesWithCache totalCalories=127396,E4,calculateCaloriesWithCache totalCalories=<*>
217,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
218,REPORT : 7036 5023 150711 240,E47,REPORT : <*> <*> <*> <*>
219,onStandStepChanged 3609,E42,onStandStepChanged <*>
220,onExtend:1514038548000 1 0 4,E39,onExtend:<*> <*> <*> <*>
221, getTodayTotalDetailSteps = 1514038440000##7036##548365##8661##15021##27190970,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>
222,setTodayTotalDetailSteps=1514038440000##7037##548365##8661##15116##27191969,E58,setTodayTotalDetailSteps=<*>
223,calculateCaloriesWithCache totalCalories=127418,E4,calculateCaloriesWithCache totalCalories=<*>
224,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>
225,REPORT : 7037 5024 150732 240,E47,REPORT : <*> <*> <*> <*>
226,onStandStepChanged 3610,E42,onStandStepChanged <*>
227,onExtend:1514038548000 1 0 4,E39,onExtend:<*> <*> <*> <*>
