LineId,Content,EventId,EventTemplate
1,"Registered signal handlers for [TERM, HUP, INT]",E22,"Registered signal handlers for [TERM, HUP, INT]"
2,"Changing view acls to: yarn,curi",E5,Changing view acls to: <*>
3,"Changing modify acls to: yarn,curi",E4,Changing modify acls to: <*>
4,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",E26,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
5,"Changing view acls to: yarn,curi",E5,Changing view acls to: <*>
6,"Changing modify acls to: yarn,curi",E4,Changing modify acls to: <*>
7,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",E26,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
8,Slf4jLogger started,E28,Slf4jLogger started
9,Starting remoting,E31,Starting remoting
10,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],E23,Remoting started; listening on addresses :[akka.tcp://<*>]
11,Successfully started service 'sparkExecutorActorSystem' on port 55904.,E34,Successfully started service 'sparkExecutorActorSystem' on port <*>.
12,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,E7,Created local directory at <*>
13,MemoryStore started with capacity 17.7 GB,E18,MemoryStore started with capacity <*> GB
14,Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069,E6,Connecting to driver: spark://<*>
15,Successfully registered with driver,E32,Successfully registered with driver
16,Starting executor ID 5 on host mesos-slave-07,E30,Starting executor ID <*> on host <*>
17,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.,E33,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port <*>.
18,Server created on 40984,E27,Server created on <*>
19,Trying to register BlockManager,E36,Trying to register BlockManager
20,Registered BlockManager,E21,Registered BlockManager
21,Got assigned task 0,E11,Got assigned task <*>
22,Got assigned task 1,E11,Got assigned task <*>
23,Got assigned task 2,E11,Got assigned task <*>
24,Got assigned task 3,E11,Got assigned task <*>
25,Running task 0.0 in stage 0.0 (TID 0),E24,Running task <*> in stage <*> (TID <*>)
26,Running task 2.0 in stage 0.0 (TID 2),E24,Running task <*> in stage <*> (TID <*>)
27,Running task 1.0 in stage 0.0 (TID 1),E24,Running task <*> in stage <*> (TID <*>)
28,Running task 3.0 in stage 0.0 (TID 3),E24,Running task <*> in stage <*> (TID <*>)
29,Got assigned task 4,E11,Got assigned task <*>
30,Running task 4.0 in stage 0.0 (TID 4),E24,Running task <*> in stage <*> (TID <*>)
31,Started reading broadcast variable 9,E29,Started reading broadcast variable <*>
32,"Block broadcast_9_piece0 stored as bytes in memory (estimated size 5.2 KB, free 5.2 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
33,Reading broadcast variable 9 took 160 ms,E20,Reading broadcast variable <*> took <*> ms
34,"Block broadcast_9 stored as values in memory (estimated size 8.8 KB, free 14.0 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)"
35,"Partition rdd_2_1 not found, computing it",E19,"Partition rdd_<*> not found, computing it"
36,"Partition rdd_2_3 not found, computing it",E19,"Partition rdd_<*> not found, computing it"
37,"Partition rdd_2_0 not found, computing it",E19,"Partition rdd_<*> not found, computing it"
38,"Partition rdd_2_2 not found, computing it",E19,"Partition rdd_<*> not found, computing it"
39,"Partition rdd_2_4 not found, computing it",E19,"Partition rdd_<*> not found, computing it"
40,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:21876+7292,E12,Input split: hdfs://<*>
41,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:14584+7292,E12,Input split: hdfs://<*>
42,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:0+7292,E12,Input split: hdfs://<*>
43,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:7292+7292,E12,Input split: hdfs://<*>
44,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:29168+7292,E12,Input split: hdfs://<*>
45,Started reading broadcast variable 8,E29,Started reading broadcast variable <*>
46,"Block broadcast_8_piece0 stored as bytes in memory (estimated size 21.4 KB, free 35.4 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
47,Reading broadcast variable 8 took 19 ms,E20,Reading broadcast variable <*> took <*> ms
48,"Block broadcast_8 stored as values in memory (estimated size 281.6 KB, free 317.0 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)"
49,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",E17,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id"
50,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",E14,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id"
51,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",E15,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap"
52,"mapred.job.id is deprecated. Instead, use mapreduce.job.id",E13,"mapred.job.id is deprecated. Instead, use mapreduce.job.id"
53,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",E16,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition"
54,Started reading broadcast variable 0,E29,Started reading broadcast variable <*>
55,"Block broadcast_0_piece0 stored as bytes in memory (estimated size 93.0 B, free 317.1 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
56,Reading broadcast variable 0 took 21 ms,E20,Reading broadcast variable <*> took <*> ms
57,"Block broadcast_0 stored as values in memory (estimated size 384.0 B, free 317.5 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)"
58,Started reading broadcast variable 4,E29,Started reading broadcast variable <*>
59,"Block broadcast_4_piece0 stored as bytes in memory (estimated size 95.0 B, free 317.6 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
60,Reading broadcast variable 4 took 18 ms,E20,Reading broadcast variable <*> took <*> ms
61,"Block broadcast_4 stored as values in memory (estimated size 384.0 B, free 318.0 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)"
62,Started reading broadcast variable 3,E29,Started reading broadcast variable <*>
63,"Block broadcast_3_piece0 stored as bytes in memory (estimated size 152.0 B, free 318.1 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
64,Reading broadcast variable 3 took 17 ms,E20,Reading broadcast variable <*> took <*> ms
65,"Block broadcast_3 stored as values in memory (estimated size 384.0 B, free 318.5 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)"
66,Started reading broadcast variable 1,E29,Started reading broadcast variable <*>
67,"Block broadcast_1_piece0 stored as bytes in memory (estimated size 107.0 B, free 318.6 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
68,Reading broadcast variable 1 took 16 ms,E20,Reading broadcast variable <*> took <*> ms
69,"Block broadcast_1 stored as values in memory (estimated size 384.0 B, free 319.0 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)"
70,Started reading broadcast variable 2,E29,Started reading broadcast variable <*>
71,"Block broadcast_2_piece0 stored as bytes in memory (estimated size 93.0 B, free 319.0 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
72,Reading broadcast variable 2 took 16 ms,E20,Reading broadcast variable <*> took <*> ms
73,"Block broadcast_2 stored as values in memory (estimated size 384.0 B, free 319.4 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)"
74,"Times: total = 1072, boot = 856, init = 210, finish = 6",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
75,"Times: total = 1114, boot = 885, init = 223, finish = 6",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
76,"Times: total = 1074, boot = 869, init = 199, finish = 6",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
77,"Times: total = 1078, boot = 851, init = 219, finish = 8",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
78,"Times: total = 1077, boot = 865, init = 206, finish = 6",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
79,"Block rdd_2_2 stored as bytes in memory (estimated size 850.0 B, free 320.3 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
80,"Block rdd_2_3 stored as bytes in memory (estimated size 930.0 B, free 321.2 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
81,"Block rdd_2_1 stored as bytes in memory (estimated size 935.0 B, free 322.1 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
82,"Block rdd_2_0 stored as bytes in memory (estimated size 913.0 B, free 323.0 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
83,"Block rdd_2_4 stored as bytes in memory (estimated size 890.0 B, free 323.8 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
84,"Times: total = 38, boot = 11, init = 27, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
85,"Times: total = 42, boot = 12, init = 30, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
86,"Times: total = 41, boot = 15, init = 26, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
87,"Times: total = 40, boot = 7, init = 33, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
88,"Times: total = 42, boot = 13, init = 28, finish = 1",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
89,Finished task 3.0 in stage 0.0 (TID 3). 2703 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
90,Finished task 1.0 in stage 0.0 (TID 1). 2703 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
91,Finished task 2.0 in stage 0.0 (TID 2). 2703 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
92,Finished task 4.0 in stage 0.0 (TID 4). 2703 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
93,Finished task 0.0 in stage 0.0 (TID 0). 2703 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
94,Got assigned task 42,E11,Got assigned task <*>
95,Running task 0.0 in stage 1.0 (TID 42),E24,Running task <*> in stage <*> (TID <*>)
96,Got assigned task 56,E11,Got assigned task <*>
97,Running task 1.0 in stage 1.0 (TID 56),E24,Running task <*> in stage <*> (TID <*>)
98,Got assigned task 69,E11,Got assigned task <*>
99,Started reading broadcast variable 10,E29,Started reading broadcast variable <*>
100,Running task 2.0 in stage 1.0 (TID 69),E24,Running task <*> in stage <*> (TID <*>)
101,Got assigned task 78,E11,Got assigned task <*>
102,Running task 3.0 in stage 1.0 (TID 78),E24,Running task <*> in stage <*> (TID <*>)
103,Got assigned task 79,E11,Got assigned task <*>
104,Running task 4.0 in stage 1.0 (TID 79),E24,Running task <*> in stage <*> (TID <*>)
105,"Block broadcast_10_piece0 stored as bytes in memory (estimated size 5.8 KB, free 329.6 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
106,Reading broadcast variable 10 took 17 ms,E20,Reading broadcast variable <*> took <*> ms
107,"Block broadcast_10 stored as values in memory (estimated size 9.6 KB, free 339.2 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)"
108,Found block rdd_2_0 locally,E10,Found block rdd_<*> locally
109,Found block rdd_2_3 locally,E10,Found block rdd_<*> locally
110,Found block rdd_2_4 locally,E10,Found block rdd_<*> locally
111,Found block rdd_2_2 locally,E10,Found block rdd_<*> locally
112,Found block rdd_2_1 locally,E10,Found block rdd_<*> locally
113,"Times: total = 42, boot = -4131, init = 4172, finish = 1",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
114,"Times: total = 41, boot = -4122, init = 4162, finish = 1",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
115,"Times: total = 42, boot = -4121, init = 4162, finish = 1",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
116,"Times: total = 42, boot = -4138, init = 4179, finish = 1",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
117,"Times: total = 42, boot = -4134, init = 4175, finish = 1",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
118,Finished task 4.0 in stage 1.0 (TID 79). 2685 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
119,Finished task 1.0 in stage 1.0 (TID 56). 2428 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
120,Finished task 0.0 in stage 1.0 (TID 42). 2474 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
121,Finished task 3.0 in stage 1.0 (TID 78). 2651 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
122,Finished task 2.0 in stage 1.0 (TID 69). 2523 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
123,Got assigned task 87,E11,Got assigned task <*>
124,Running task 0.0 in stage 2.0 (TID 87),E24,Running task <*> in stage <*> (TID <*>)
125,Got assigned task 101,E11,Got assigned task <*>
126,Running task 1.0 in stage 2.0 (TID 101),E24,Running task <*> in stage <*> (TID <*>)
127,Got assigned task 112,E11,Got assigned task <*>
128,Running task 2.0 in stage 2.0 (TID 112),E24,Running task <*> in stage <*> (TID <*>)
129,Got assigned task 118,E11,Got assigned task <*>
130,Running task 3.0 in stage 2.0 (TID 118),E24,Running task <*> in stage <*> (TID <*>)
131,Started reading broadcast variable 11,E29,Started reading broadcast variable <*>
132,Got assigned task 119,E11,Got assigned task <*>
133,Running task 4.0 in stage 2.0 (TID 119),E24,Running task <*> in stage <*> (TID <*>)
134,"Block broadcast_11_piece0 stored as bytes in memory (estimated size 5.4 KB, free 344.7 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
135,Reading broadcast variable 11 took 15 ms,E20,Reading broadcast variable <*> took <*> ms
136,"Block broadcast_11 stored as values in memory (estimated size 9.2 KB, free 353.9 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)"
137,Found block rdd_2_4 locally,E10,Found block rdd_<*> locally
138,Found block rdd_2_3 locally,E10,Found block rdd_<*> locally
139,Found block rdd_2_2 locally,E10,Found block rdd_<*> locally
140,Found block rdd_2_0 locally,E10,Found block rdd_<*> locally
141,Found block rdd_2_1 locally,E10,Found block rdd_<*> locally
142,"Times: total = 39, boot = -147, init = 186, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
143,"Times: total = 39, boot = -147, init = 186, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
144,"Times: total = 41, boot = -139, init = 179, finish = 1",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
145,"Times: total = 38, boot = -156, init = 194, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
146,"Times: total = 39, boot = -159, init = 198, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
147,Finished task 4.0 in stage 2.0 (TID 119). 2087 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
148,Finished task 2.0 in stage 2.0 (TID 112). 2087 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
149,Finished task 3.0 in stage 2.0 (TID 118). 2087 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
150,Finished task 1.0 in stage 2.0 (TID 101). 2087 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
151,Finished task 0.0 in stage 2.0 (TID 87). 2087 bytes result sent to driver,E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
152,Got assigned task 122,E11,Got assigned task <*>
153,Running task 0.0 in stage 3.0 (TID 122),E24,Running task <*> in stage <*> (TID <*>)
154,Got assigned task 136,E11,Got assigned task <*>
155,Running task 1.0 in stage 3.0 (TID 136),E24,Running task <*> in stage <*> (TID <*>)
156,Got assigned task 150,E11,Got assigned task <*>
157,Running task 2.0 in stage 3.0 (TID 150),E24,Running task <*> in stage <*> (TID <*>)
158,Got assigned task 158,E11,Got assigned task <*>
159,Running task 3.0 in stage 3.0 (TID 158),E24,Running task <*> in stage <*> (TID <*>)
160,Started reading broadcast variable 12,E29,Started reading broadcast variable <*>
161,Got assigned task 159,E11,Got assigned task <*>
162,Running task 4.0 in stage 3.0 (TID 159),E24,Running task <*> in stage <*> (TID <*>)
163,"Block broadcast_12_piece0 stored as bytes in memory (estimated size 5.6 KB, free 359.4 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
164,Reading broadcast variable 12 took 30 ms,E20,Reading broadcast variable <*> took <*> ms
165,"Block broadcast_12 stored as values in memory (estimated size 9.8 KB, free 369.3 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)"
166,"Partition rdd_6_4 not found, computing it",E19,"Partition rdd_<*> not found, computing it"
167,"Partition rdd_6_3 not found, computing it",E19,"Partition rdd_<*> not found, computing it"
168,"Partition rdd_6_0 not found, computing it",E19,"Partition rdd_<*> not found, computing it"
169,"Partition rdd_6_1 not found, computing it",E19,"Partition rdd_<*> not found, computing it"
170,"Partition rdd_6_2 not found, computing it",E19,"Partition rdd_<*> not found, computing it"
171,Found block rdd_2_4 locally,E10,Found block rdd_<*> locally
172,Found block rdd_2_3 locally,E10,Found block rdd_<*> locally
173,Found block rdd_2_1 locally,E10,Found block rdd_<*> locally
174,Found block rdd_2_0 locally,E10,Found block rdd_<*> locally
175,Found block rdd_2_2 locally,E10,Found block rdd_<*> locally
176,"Times: total = 38, boot = -170, init = 208, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
177,"Times: total = 41, boot = -171, init = 212, finish = 0",E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
